ID,label
0,3
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,3
12,0
13,0
14,0
15,2
16,0
17,0
18,0
19,3
20,2
21,1
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,1
44,0
45,0
46,1
47,0
48,0
49,1
50,3
51,1
52,1
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,1
61,3
62,1
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,3
75,0
76,0
77,0
78,1
79,1
80,0
81,0
82,0
83,1
84,3
85,1
86,0
87,3
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,3
96,3
97,3
98,1
99,3
100,0
101,1
102,2
103,0
104,3
105,0
106,0
107,1
108,0
109,0
110,3
111,0
112,1
113,2
114,0
115,1
116,1
117,1
118,0
119,1
120,0
121,0
122,3
123,0
124,0
125,1
126,0
127,3
128,0
129,0
130,0
131,0
132,3
133,1
134,0
135,1
136,0
137,0
138,2
139,0
140,1
141,1
142,1
143,0
144,0
145,3
146,0
147,0
148,1
149,1
150,0
151,0
152,0
153,2
154,1
155,1
156,0
157,0
158,3
159,0
160,2
161,0
162,0
163,0
164,1
165,0
166,3
167,0
168,0
169,0
170,1
171,0
172,1
173,3
174,0
175,3
176,0
177,0
178,0
179,1
180,0
181,0
182,0
183,1
